amm,timestamp,baseAssetReserveBefore,X0,X0_after,baseAssetReserveAfter,quoteAssetReserveBefore,Y0,Y0_after,positionSize,quoteAssetReserveAfter,mark_before,mark_after,indexPrice,repegPnl,blockNumber,sumbmissionBlock
punks,23/11/22 12:43,500,,500,500,32133,,31008.03775,0,31008.03775,64.266,62.0160755,64.28278326,0,40546253,39987583
punks,23/11/22 13:23,500,500,500,500,31008.03775,31008.03775,31856.61661,0,31856.61661,62.0160755,63.71323322,64.28278326,0,40555181,39987583
punks,27/11/22 03:30,499.8599892,500,250.0700054,249.9299946,31865.53965,31856.61661,15923.84928,0.140010824,15932.76983,63.74893038,63.74893038,63.9813781,0.002497945,41515872,41504731
punks,27/11/22 03:31,249.9299946,250.0700054,176.8672048,176.727194,15932.76983,15923.84928,11257.25111,0.140010824,11266.16959,63.74893038,63.74893038,63.9813781,0.002068307,41515959,41504731
punks,27/11/22 11:40,176.5630133,176.8672048,148.0274069,147.7232154,11276.64566,11257.25111,9415.330619,0.304191489,9434.718658,63.86754195,63.86754195,63.9813781,0.006509942,41606055,41590412
punks,28/11/22 11:35,146.3592657,148.0274069,124.1210883,122.4529471,9522.642587,9415.330619,7860.138006,1.668141192,7967.214399,65.0634761,65.0634761,65.96937004,0.23557428,41864961,41850553
punks,28/12/22 22:11,124.686107,124.1210883,110.9576258,111.5226444,7824.519567,7860.138006,7034.100644,-0.565018639,6998.463057,62.75374023,62.75374023,62.08327118,0.019148404,49485924,49472737
punks,5/1/23 11:27,110.3163016,110.9576258,99.31122394,98.66989973,7074.993413,7034.100644,6287.201595,0.641324208,6328.066485,64.13370747,64.13370747,65.11654481,0.027879045,51017176,50997847
punks,6/1/23 14:48,98.35856269,99.31122394,88.92723419,87.97457294,6348.096886,6287.201595,5617.084046,0.952661243,5677.910466,64.54035838,64.54035838,65.82713193,0.068871493,51239539,51223917
punks,20/3/23 13:31,83.36988814,88.92723419,84.64896648,79.09162044,5991.512758,5617.084046,5310.880833,5.557346046,5684.048084,71.86662825,71.86662825,73.49672186,1.261460515,71787595,71775299
punks,15/4/23 10:14,89.48348861,84.64896648,84.64896648,89.48348861,5023.950011,5310.880833,5041.981923,-4.834522127,4769.578896,56.14387737,53.30121758,53.30121758,-14.52779443,80673755,80660712
punks,15/4/23 10:22,89.27017725,84.64896648,75.22446311,79.84567388,4780.975819,5041.981923,4538.933652,-4.62121077,4276.234772,53.55624875,53.55624875,53.30121758,1.69277572,80675596,80660712
punks,21/4/23 17:58,82.92530255,75.22446311,70.96901008,78.66984951,4117.426606,4538.933652,4329.988005,-7.700839436,3906.133853,49.65223496,49.65223496,47.76177652,2.34710704,82855976,82854139
punks,10/5/23 21:14,77.78969663,70.96901008,66.9770994,73.79778595,3950.329872,4329.988005,4129.254157,-6.820686549,3747.611972,50.78217352,50.78217352,48.37548821,1.984052685,89381199,89369631
