step,time,action,vETH,vNFT,fees,userid,oracle_price
0,0,set_liquidity,32133.0,500.0,0.0,admin,64.28278325620728
39993545,1669047283,swap,0.0,1.5560327873535e-05,0.003,0xde79aaa2f54160b45ef69e1c4b8fc4c290cd5b88,64.28278325620728
39993929,1669047387,swap,0.001,0.0,0.003,0xde79aaa2f54160b45ef69e1c4b8fc4c290cd5b88,64.28278325620728
40546253,0,set_liquidity,31008.03775,500.0,0.0,admin,64.28278325620728
40555181,0,set_liquidity,31856.61661,500.0,0.0,admin,64.28278325620728
40881427,1669309571,swap,0.04,0.0,0.003,0x969a524dc7e46f0def44352c11b2296d37ef6e23,63.98137810183117
40881875,1669309693,swap,0.0,0.0006278122731173,0.003,0x969a524dc7e46f0def44352c11b2296d37ef6e23,63.98137810183117
41110531,1669385142,swap,0.075,0.0,0.003,0x7d0ce9bb923233868b8dff5ad4b20bc4a11e85bc,63.98137810183117
41111345,1669385353,swap,0.4,0.0,0.003,0xde79aaa2f54160b45ef69e1c4b8fc4c290cd5b88,63.98137810183117
41112022,1669385536,swap,0.45,0.0,0.003,0xf6aa21404f079e8b8e142e91fd408a86713dc087,63.98137810183117
41119348,1669387511,swap,0.2,0.0,0.003,0x38aa2684781ad05d8b382bfa7c0c66fa8ebcd4f5,63.98137810183117
41122133,1669388243,swap,0.0524416,0.0,0.003,0xce2b6cb631bf9cb7245f6b9f8b6a91ee98307dc3,63.98137810183117
41123518,1669388612,swap,0.49,0.0,0.003,0xc7d155feaa493d3a5037299bdf15624126931a77,63.98137810183117
41124555,1669388904,swap,0.0,0.0108977305495226,0.003,0x026fbb7b3ccc7d668767f9b6f65d2346d8549f6e,63.98137810183117
41125785,1669389240,swap,0.0,0.0011771467187974,0.002999999999999996,0x7d0ce9bb923233868b8dff5ad4b20bc4a11e85bc,63.98137810183117
41127543,1669389737,swap,0.008,0.0,0.003,0x45f7093565b72e8fe5e97bc84d8f9919cc7ae15f,63.98137810183117
41128083,1669389889,swap,0.002,0.0,0.003,0x45f7093565b72e8fe5e97bc84d8f9919cc7ae15f,63.98137810183117
41128258,1669389931,swap,0.0,0.0004666382680553,0.003,0xb4ee962f90fc1ba210611ea294e28ca3dc719c4f,63.98137810183117
41128635,1669390041,swap,2.0,0.0,0.003,0x4ba065b10d9f3e4960a53efa882a940fd3999a73,63.98137810183117
41129311,1669390244,swap,0.003,0.0,0.003,0xf7120a8c9ef8437dfa0b6fa0988e35b6b5cf401d,63.98137810183117
41129382,1669390267,swap,0.0032,0.0,0.003,0xf7120a8c9ef8437dfa0b6fa0988e35b6b5cf401d,63.98137810183117
41129387,1669390268,swap,0.03,0.0,0.003,0x76d2ddce6b781e66c4b184c82fbf4f94346cfb0d,63.98137810183117
41131988,1669391022,swap,0.4433495,0.0,0.003,0x013cc394844aa993d73ca9a08d89dd6d046f3bcc,63.98137810183117
41132297,1669391095,swap,0.0,0.0069571452828416,0.002999999999999997,0x013cc394844aa993d73ca9a08d89dd6d046f3bcc,63.98137810183117
41132665,1669391197,swap,0.0997008,0.0,0.003,0x09187ebd7d6018e2a871ca5c4868cddbd498738a,63.98137810183117
41134179,1669391614,swap,0.05,0.0,0.003,0xb344e7a081cf19524b569b9365e7e1db3edcbd54,63.98137810183117
41136980,1669392439,swap,0.75,0.0,0.003,0xc7d155feaa493d3a5037299bdf15624126931a77,63.98137810183117
41137210,1669392509,swap,2.5,0.0,0.003,0x4ba065b10d9f3e4960a53efa882a940fd3999a73,63.98137810183117
41137380,1669392562,swap,0.002673,0.0,0.003,0x29e773a798730070b341dc09e58d224fa3a55eb2,63.98137810183117
41139829,1669393325,swap,1.2479352,0.0,0.003,0x30c0994b0b454ff3ba1606bce6e67d54701b24d7,63.98137810183117
41140544,1669393536,swap,0.008,0.0,0.003,0xbcc1a940be90087d2dcd91696421469e1e4e73a3,63.98137810183117
41140600,1669393554,swap,0.0,0.0062752256289684,0.003,0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,63.98137810183117
41141692,1669393880,swap,0.0,0.0003128256891593,0.003,0xf782f0bf9b741fde0e7c7da4f71c7e33554f8397,63.98137810183117
41141927,1669393953,swap,0.0199401,0.0,0.0029999999999999923,0xf782f0bf9b741fde0e7c7da4f71c7e33554f8397,63.98137810183117
41142197,1669394037,swap,0.0,0.0004565915655241,0.003,0xf782f0bf9b741fde0e7c7da4f71c7e33554f8397,63.98137810183117
41152649,1669397247,swap,0.7976071,0.0,0.003,0x4b10da491b54ffe167ec5aaf7046804fada027d2,63.98137810183117
41155544,1669398146,swap,0.4,0.0,0.003,0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,63.98137810183117
41159266,1669399246,swap,0.0,9.365205108547e-06,0.003,0xabf84b08f4e9d435abaf7c30f1a1552710828546,63.98137810183117
41160446,1669399599,swap,0.0,0.0176531989384558,0.003,0x4ba065b10d9f3e4960a53efa882a940fd3999a73,63.98137810183117
41160968,1669399748,swap,0.4,0.0,0.003,0x98b69d0b81fb1966ebe0af76789425706e5afe7b,63.98137810183117
41161297,1669399849,swap,0.2,0.0,0.003,0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,63.98137810183117
41161783,1669400004,swap,0.2002112,0.0,0.003,0x49c233d25768e462f0474390f653baf40dd592b2,63.98137810183117
41162529,1669400256,swap,0.0,0.0125127780107472,0.0029999999999999988,0x4b10da491b54ffe167ec5aaf7046804fada027d2,63.98137810183117
41164804,1669400995,swap,0.0,0.0015645454256156,0.002999999999999997,0x09187ebd7d6018e2a871ca5c4868cddbd498738a,63.98137810183117
41165363,1669401181,swap,0.2068965,0.0,0.003,0xd0172ce70af7a4e3b65c373533ff5b368285b652,63.98137810183117
41169943,1669402662,swap,0.5,0.0,0.003,0x233dd5f48abf07390fe66d5a05a4e3a392d36dd6,63.98137810183117
41172866,1669403642,swap,0.0,6.2750482370938e-05,0.003,0x232c412d3613d5915fc1ebf6eb8d14f11b6a260d,63.98137810183117
41179533,1669405949,swap,0.4185044,0.0,0.003,0xee5ce06accce11bc77c5a93723c8032d9108f22d,63.98137810183117
41185623,1669408099,swap,0.0297464424249234,0.0,0.0029999999999999884,0xb4ee962f90fc1ba210611ea294e28ca3dc719c4f,63.98137810183117
41188009,1669408962,swap,0.4,0.0,0.003,0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,63.98137810183117
41188890,1669409261,swap,0.0,0.0003921699918567,0.003,0x524b7c9b4ca33ba72445dfd2d6404c81d8d1f2e3,63.98137810183117
41189428,1669409465,swap,0.5,0.0,0.003,0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,63.98137810183117
41193343,1669410844,swap,0.0,1.5639261237491e-05,0.003,0x3ff338f321a774221992b89c6fd7ace47246a60f,63.98137810183117
41202806,1669414102,swap,0.049261,0.0,0.003,0xed034b287ea77a14970f1c0c8682a80a9468dbb3,63.98137810183117
41205053,1669414886,swap,0.01,0.0,0.003,0xec1625f0be12b31d8edfdd165f7750ee4630a475,63.98137810183117
41213773,1669418113,swap,0.01,0.0,0.003,0x852169fa4aedc595f22ad5514bb74bdfea073b9c,63.98137810183117
41213995,1669418197,swap,0.19779,0.0,0.003,0x8d4583655cc7a5b36ee3abe3747176b42b698ec4,63.98137810183117
41214264,1669418302,swap,0.015,0.0,0.003,0xe2665c6b02ea68e0cf3ef1a74b88155ef10243a0,63.98137810183117
41221546,1669421154,swap,0.04,0.0,0.003,0xafc68fea4556ce538a27804ae82f7e601df38bfc,63.98137810183117
41222049,1669421338,swap,0.0,0.0006274409326523,0.002999999999999977,0xafc68fea4556ce538a27804ae82f7e601df38bfc,63.98137810183117
41223391,1669421907,swap,0.03,0.0,0.003,0xafc68fea4556ce538a27804ae82f7e601df38bfc,63.98137810183117
41227199,1669423310,swap,4.827857,0.0,0.003,0xc08b45925a4dd11426093c698d700b9023b4e3dd,63.98137810183117
41240628,1669427851,swap,1.6,0.0,0.003,0x9ed80eda7f55054db9fb5282451688f26bb374c1,63.98137810183117
41241296,1669428062,swap,0.0,0.0250887589517119,0.0029999999999999988,0x9ed80eda7f55054db9fb5282451688f26bb374c1,63.98137810183117
41241350,1669428078,swap,1.46,0.0,0.003,0x9ed80eda7f55054db9fb5282451688f26bb374c1,63.98137810183117
41241740,1669428197,swap,0.0,0.0228935931035763,0.003,0x9ed80eda7f55054db9fb5282451688f26bb374c1,63.98137810183117
41242638,1669428490,swap,0.9141,0.0,0.003,0x5e27a2447b4f19064f0014d3de3bb0777f7b84c9,63.98137810183117
41243724,1669428835,swap,0.0,0.014333830064332,0.003,0x5e27a2447b4f19064f0014d3de3bb0777f7b84c9,63.98137810183117
41243793,1669428855,swap,0.9321,0.0,0.003,0x5e27a2447b4f19064f0014d3de3bb0777f7b84c9,63.98137810183117
41244451,1669429072,swap,0.0,0.0146160764220823,0.003,0x5e27a2447b4f19064f0014d3de3bb0777f7b84c9,63.98137810183117
41278722,1669440665,swap,0.0,3.1401728215674e-05,0.003,0x07588353130f93056c7d32250a217ada1c5ae022,63.98137810183117
41288678,1669443876,swap,0.0,1.5681264006978e-05,0.003,0xe8f49f7fed0b55a095291941c1ea2e4a8df7c0cf,63.98137810183117
41304528,1669448916,swap,0.0034895,0.0,0.003,0xe278e9e96630f1fff9a87a2469ddbb9e05b1af4e,63.98137810183117
41304805,1669448996,swap,0.0024925,0.0,0.003,0x437377730eea0f0dbb0b1c1ee9219d924668719c,63.98137810183117
41305798,1669449275,swap,0.0,5.471976647808e-05,0.002999999999999811,0xe278e9e96630f1fff9a87a2469ddbb9e05b1af4e,63.98137810183117
41305891,1669449302,swap,0.0,3.9085540148193e-05,0.0029999999999999138,0x437377730eea0f0dbb0b1c1ee9219d924668719c,63.98137810183117
41309165,1669450279,swap,0.0,0.0001568626726769,0.002999999999999911,0xec1625f0be12b31d8edfdd165f7750ee4630a475,63.98137810183117
41314029,1669451646,swap,0.0,3.1362550653371e-05,0.003,0xf9e67e79d364c6b0f65b789deab8130bd708c9f9,63.98137810183117
41314216,1669451703,swap,0.0524655,0.0,0.003,0xba85e7b5fc623014ccd394bbca960b1d8455faee,63.98137810183117
41314273,1669451722,swap,0.002991,0.0,0.003,0x28232ec0dbe834d86cacaaba5b658d2cef0ae742,63.98137810183117
41318482,1669452941,swap,0.0,4.6902538622709e-05,0.002999999999999698,0x28232ec0dbe834d86cacaaba5b658d2cef0ae742,63.98137810183117
41319597,1669453266,swap,0.0,0.0062780222247578,0.0029999999999999988,0xde79aaa2f54160b45ef69e1c4b8fc4c290cd5b88,63.98137810183117
41319789,1669453316,swap,0.0,0.0008227246479206,0.003,0xba85e7b5fc623014ccd394bbca960b1d8455faee,63.98137810183117
41320134,1669453421,swap,0.050918,0.0,0.003,0xba85e7b5fc623014ccd394bbca960b1d8455faee,63.98137810183117
41324918,1669454787,swap,0.06,0.0,0.003,0x51a37a5dcad4e7884ea251484e09ff9906db1035,63.98137810183117
41332959,1669457150,swap,0.15,0.0,0.003,0x445c9da83c4211fa8829672785599dd8180ade7c,63.98137810183117
41339986,1669459160,swap,0.65,0.0,0.003,0x42feec5c7e7d3c725864a2716ca357fa9993ccc0,63.98137810183117
41340050,1669459180,swap,0.0,0.0101927109064516,0.003,0x088af1da6d021ddc79e4fe826f0fdcd05ea0127f,63.98137810183117
41340473,1669459302,swap,0.0,0.006899917205777,0.003,0xbe14d4460f4ac2a2d17010e0544ae33ef581e2e4,63.98137810183117
41340520,1669459316,swap,0.0,0.0094092850498463,0.003,0xd4efa01df2a38837bf344a9e3255ddb635c4fb2a,63.98137810183117
41340584,1669459335,swap,1.04,0.0,0.003,0xd138a2386ffd3b0a1a8f20db83760a7aefcd07c6,63.98137810183117
41372342,1669468505,swap,0.0297324,0.0,0.003,0x528bdb07e14e0d7dd641524393aa1f4f815c2e0c,63.98137810183117
41373621,1669468876,swap,0.0,1.5681384749754e-05,0.003,0xdc633707253d118e32632e199a4f9d49720173d7,63.98137810183117
41380297,1669470748,swap,0.004,0.0,0.003,0xd9955789f7094b6c0bd5f7e7acfb046520a6a85c,63.98137810183117
41384306,1669471831,swap,0.1,0.0,0.003,0x899b2d61a5943dd2452cbc9ff5d158c63a2275dd,63.98137810183117
41384614,1669471911,swap,0.0,0.0015681332102689,0.002999999999999991,0x899b2d61a5943dd2452cbc9ff5d158c63a2275dd,63.98137810183117
41384777,1669471955,swap,1.03,0.0,0.003,0x899b2d61a5943dd2452cbc9ff5d158c63a2275dd,63.98137810183117
41396784,1669475173,swap,0.4926105,0.0,0.003,0x70ad81d18f2838b8650d88740d8e337032c9baac,63.98137810183117
41430828,1669485404,swap,0.0,0.0132398992038419,0.003,0x4ba065b10d9f3e4960a53efa882a940fd3999a73,63.98137810183117
41477512,1669503344,swap,0.0430962,0.0,0.003,0xed7e736851bc65967a65cf1134300c27f39b7648,63.98137810183117
41477573,1669503375,swap,0.0,0.0006419893548705,0.00299999999999999,0xed7e736851bc65967a65cf1134300c27f39b7648,63.98137810183117
41485026,1669507105,swap,0.0,0.0757183582589364,0.003,0xc08b45925a4dd11426093c698d700b9023b4e3dd,63.98137810183117
41489359,1669509037,swap,0.0,0.0194589768771141,0.003,0xc7d155feaa493d3a5037299bdf15624126931a77,63.98137810183117
41496083,1669512023,swap,0.001,0.0,0.003,0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b,63.98137810183117
41502822,1669514983,swap,0.05,0.0,0.003,0xa3017bb12fe3c0591e5c93011e988ca4b45aa1b4,63.98137810183117
41514107,1669519267,swap,0.098522,0.0,0.003,0x468f4c726c5da2f8fb97c483c56d7703c18545d6,63.98137810183117
41515872,0,set_liquidity,15932.76983,249.9299946,0.0,admin,63.98137810183117
41515959,0,set_liquidity,11266.16959,176.727194,0.0,admin,63.98137810183117
